Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,generation
20000,20000,20000,20000,20000,,,,,-0.01
20000,20000,20000,20000,20000,,,,,-0.00995
20000,20000,20000,20000,20000,,,,,-0.0099
20000,20000,20000,20000,20000,,,,,-0.00985
20000,20000,20000,20000,20000,,,,,-0.0098
20000,20000,20000,20000,20000,,,,,-0.00975
20000,20000,20000,20000,20000,,,,,-0.0097
20000,20000,20000,20000,20000,,,,,-0.00965
20000,20000,20000,20000,20000,,,,,-0.0096
20000,20000,20000,20000,20000,,,,,-0.00955
20000,20000,20000,20000,20000,,,,,-0.0095
20000,20000,20000,20000,20000,,,,,-0.00945
20000,20000,20000,20000,20000,,,,,-0.0094
20000,20000,20000,20000,20000,,,,,-0.00935
20000,20000,20000,20000,20000,,,,,-0.0093
20000,20000,20000,20000,20000,,,,,-0.00925
20000,20000,20000,20000,20000,,,,,-0.0092
20000,20000,20000,20000,20000,,,,,-0.00915
20000,20000,20000,20000,20000,,,,,-0.0091
20000,20000,20000,20000,20000,,,,,-0.00905
20000,20000,20000,20000,20000,,,,,-0.009
20000,20000,20000,20000,20000,,,,,-0.00895
20000,20000,20000,20000,20000,,,,,-0.0089
20000,20000,20000,20000,20000,,,,,-0.00885
20000,20000,20000,20000,20000,,,,,-0.0088
20000,20000,20000,20000,20000,,,,,-0.00875
20000,20000,20000,20000,20000,,,,,-0.0087
20000,20000,20000,20000,20000,,,,,-0.00865
20000,20000,20000,20000,20000,,,,,-0.0086
20000,20000,20000,20000,20000,,,,,-0.00855
20000,20000,20000,20000,20000,,,,,-0.0085
20000,20000,20000,20000,20000,,,,,-0.00845
20000,20000,20000,20000,20000,,,,,-0.0084
20000,20000,20000,20000,20000,,,,,-0.00835
20000,20000,20000,20000,20000,,,,,-0.0083
20000,20000,20000,20000,20000,,,,,-0.00825
20000,20000,20000,20000,20000,,,,,-0.0082
20000,20000,20000,20000,20000,,,,,-0.00815
20000,20000,20000,20000,20000,,,,,-0.0081
20000,20000,20000,20000,20000,,,,,-0.00805
20000,20000,20000,20000,20000,,,,,-0.008
20000,20000,20000,20000,20000,,,,,-0.00795
20000,20000,20000,20000,20000,,,,,-0.0079
20000,20000,20000,20000,20000,,,,,-0.00785
20000,20000,20000,20000,20000,,,,,-0.0078
20000,20000,20000,20000,20000,,,,,-0.00775
20000,20000,20000,20000,20000,,,,,-0.0077
20000,20000,20000,20000,20000,,,,,-0.00765
20000,20000,20000,20000,20000,,,,,-0.0076
20000,20000,20000,20000,20000,,,,,-0.00755
20000,20000,20000,20000,20000,,,,,-0.0075
20000,20000,20000,20000,20000,,,,,-0.00745
