N,generation
20000,-0.01
20000,-0.00995
20000,-0.0099
20000,-0.00985
20000,-0.0098
20000,-0.00975
20000,-0.0097
20000,-0.00965
20000,-0.0096
20000,-0.00955
20000,-0.0095
20000,-0.00945
20000,-0.0094
20000,-0.00935
20000,-0.0093
20000,-0.00925
20000,-0.0092
20000,-0.00915
20000,-0.0091
20000,-0.00905
20000,-0.009
20000,-0.00895
20000,-0.0089
20000,-0.00885
20000,-0.0088
20000,-0.00875
20000,-0.0087
20000,-0.00865
20000,-0.0086
20000,-0.00855
20000,-0.0085
20000,-0.00845
20000,-0.0084
20000,-0.00835
20000,-0.0083
20000,-0.00825
20000,-0.0082
20000,-0.00815
20000,-0.0081
20000,-0.00805
20000,-0.008
20000,-0.00795
20000,-0.0079
20000,-0.00785
20000,-0.0078
20000,-0.00775
20000,-0.0077
20000,-0.00765
20000,-0.0076
20000,-0.00755
20000,-0.0075
20000,-0.00745
20000,-0.0074
20000,-0.00735
20000,-0.0073
20000,-0.00725
20000,-0.0072
20000,-0.00715
20000,-0.0071
20000,-0.00705
20000,-0.007
20000,-0.00695
20000,-0.0069
20000,-0.00685
20000,-0.0068
20000,-0.00675
20000,-0.0067
20000,-0.00665
20000,-0.0066
20000,-0.00655
20000,-0.0065
20000,-0.00645
20000,-0.0064
20000,-0.00635
20000,-0.0063
20000,-0.00625
20000,-0.0062
20000,-0.00615
20000,-0.0061
20000,-0.00605
20000,-0.006
20000,-0.00595
20000,-0.0059
20000,-0.00585
20000,-0.0058
20000,-0.00575
20000,-0.0057
20000,-0.00565
20000,-0.0056
20000,-0.00555
20000,-0.0055
20000,-0.00545
20000,-0.0054
20000,-0.00535
20000,-0.0053
20000,-0.00525
20000,-0.0052
20000,-0.00515
20000,-0.0051
20000,-0.00505
20000,-0.005
20000,-0.00495
20000,-0.0049
20000,-0.00485
20000,-0.0048
20000,-0.00475
20000,-0.0047
20000,-0.00465
20000,-0.0046
20000,-0.00455
20000,-0.0045
20000,-0.00445
20000,-0.0044
20000,-0.00435
20000,-0.0043
20000,-0.00425
20000,-0.0042
20000,-0.00415
20000,-0.0041
20000,-0.00405
20000,-0.004
20000,-0.00395
20000,-0.0039
20000,-0.00385
20000,-0.0038
20000,-0.00375
20000,-0.0037
20000,-0.00365
20000,-0.0036
20000,-0.00355
20000,-0.0035
20000,-0.00345
20000,-0.0034
20000,-0.00335
20000,-0.0033
20000,-0.00325
20000,-0.0032
20000,-0.00315
20000,-0.0031
